Name,Height,Weight
Maximilian Arnold,184,74
Alassane Pléa,181,79
Denis Cheryshev,179,74
Edin Višća,172,63
Bernard,164,57
Daniele Baselli,182,70
Arkadiusz Milik,186,78
Bernat,170,67
Šime Vrsaljko,182,76
Eric Botteghin,193,89
John Stones,188,75
Jannik Vestergaard,199,98
Simone Zaza,186,83
Sergi Darder,180,71
Fernando,175,80
Memphis Depay,176,78
Jesé,178,72
Thomas Meunier,190,88
Eric Dier,188,90
Federico Fernández,190,83
Nicola Sansone,175,68
Gastón Ramírez,183,77
Faouzi Ghoulam,188,80
Gabriel,185,72
Vladimír Darida,171,64
Cédric,172,67
Lorenzo Tonelli,183,78
Benjamin Lecomte,186,78
Lucas Digne,178,74
Paco Alcácer,176,71
Heung Min Son,183,77
Vicente Gómez,188,78
Emre Çolak,169,67
André André,174,65
Dušan Tadić,181,76
Danilo,184,78
Pablo Sarabia,174,70
Alex Oxlade-Chamberlain,175,70
Marco Höger,182,83
Florian Lejeune,190,81
Giannelli Imbula,186,77
Nicolás Lodeiro,170,69
Daniel Caligiuri,182,79
Jeffrey Bruma,189,88
Willian José,186,89
Wahbi Khazri,182,76
Keko,172,68
Gil,192,84
Martin Braithwaite,177,77
Jaume Costa,171,62
Romain Hamouma,178,76
Escudero,176,72
Marcos Alonso,188,81
Holger Badstuber,190,84
Osvaldo Alonso,180,75
Juraj Kucka,186,84
Jeroen Zoet,189,85
Illarramendi,179,76
Adem Ljajić,182,74
Eliaquim Mangala,187,84
Canales,179,65
Balenziaga,177,76
Rafael,172,78
Sebastian Rudy,179,74
Jonathas,190,85
Aleksandar Dragović,186,79
Manuel Lanzini,170,66
Victor Wanyama,184,87
Alfred N'Diaye,187,82
Nicolas Nkoulou,180,77
Volkan Babacan,192,86
Seydou Doumbia,179,77
Pavel Mamaev,178,70
Artem Dzyuba,196,91
Maurício,185,77
Yann M'Vila,182,80
Kieran Gibbs,179,70
Mariano,177,69
Sofiane Feghouli,177,75
Fernando,183,76
Claudio Yacob,181,73
Roberto,192,86
Moussa Sissoko,187,91
Maximiliano Pereira,173,73
Sidnei,186,82
William Vainqueur,179,73
Miguel Veloso,180,78
Fabricio,185,67
Vieirinha,172,73
Fabian Johnson,183,74
Demba Ba,189,85
Bryan Ruíz,188,78
Marcus Berg,184,74
Pontus Wernbloom,187,85
David Ospina,183,80
Ignacio Piatti,180,76
Valter Birsa,184,81
Matías Fernández,178,72
Marcano,187,77
Simon Mignolet,193,87
Sergio Romero,192,87
Domenico Criscito,183,75
Castán,186,80
Moussa Sow,180,81
Diego Valeri,178,75
Nuri Şahin,180,72
Jonny Evans,189,77
Danilo,185,75
Nicolás Pareja,181,74
Ştefan Radu,183,79
Nicolas Lombaerts,188,83
Giuseppe Rossi,173,72
Llorente,195,90
Bafétimbi Gomis,184,77
Mathieu Debuchy,177,76
Ibrahim Afellay,180,76
Jefferson Farfán,178,84
Manuel Fernandes,176,75
Scott Dann,195,78
Clint Dempsey,185,84
Michael Bradley,188,79
Yoann Gourcuff,185,79
Hilton,180,78
Pablo Batalla,170,68
Gaël Clichy,176,65
Klaas-Jan Huntelaar,186,83
Luisão,193,92
Vasiliy Berezutskiy,189,87
Igor Denisov,176,70
Alexandr Samedov,177,75
Jesús Navas,170,60
Xabi Prieto,186,76
Javi Fuego,182,74
Marcelo Barovero,182,74
Lisandro López,174,74
Guillermo Ochoa,185,77
Bruno Alves,189,81
Burak Yılmaz,188,81
Diego Benaglio,194,89
Zoran Tošić,171,71
Maxwell,176,73
Kim Källström,185,83
Tim Howard,191,88
Denys Boyko,194,82
Marcus Rashford,187,72
Miguel Almirón,177,61
Gabriel Jesus,175,67
Oyarzabal,181,78
André Silva,185,79
Soares,187,82
